alpha,entry_latency_ms,exit_horizon_ms,total_pnl,selected,observed,fills,pnl_per_selected,pnl_per_observed,pnl_per_fill,hit_rate,max_drawdown
baseline_continuation,50,7500,-8.3864,764,156,118,-0.010976963350785341,-0.05375897435897436,-0.07107118644067796,0.3389830508474576,10.703499999999998
baseline_continuation,50,10000,-9.353199999999996,764,154,116,-0.012242408376963346,-0.060735064935064906,-0.08063103448275859,0.3793103448275862,11.387049999999997
baseline_continuation,100,500,-15.978099999999998,764,183,122,-0.020913743455497378,-0.08731202185792349,-0.13096803278688524,0.09016393442622951,15.978099999999998
baseline_continuation,100,750,-16.691636,764,183,122,-0.02184769109947644,-0.0912111256830601,-0.13681668852459017,0.10655737704918032,16.691636
baseline_continuation,100,1000,-15.735385999999995,764,183,122,-0.020596054973821984,-0.0859857158469945,-0.12897857377049177,0.11475409836065574,15.735385999999995
baseline_continuation,100,1500,-12.720550000000003,764,183,122,-0.016649934554973825,-0.06951120218579236,-0.10426680327868855,0.1721311475409836,12.720550000000003
baseline_continuation,100,2000,-10.057950000000002,764,182,121,-0.01316485602094241,-0.055263461538461546,-0.08312355371900827,0.2066115702479339,10.057950000000002
baseline_continuation,100,3000,-14.927600000000002,764,178,117,-0.019538743455497384,-0.08386292134831462,-0.1275863247863248,0.2564102564102564,15.119000000000003
baseline_continuation,100,4000,-11.827399999999999,764,176,115,-0.01548089005235602,-0.06720113636363635,-0.10284695652173913,0.25217391304347825,11.96585
baseline_continuation,100,5000,-11.913399999999994,764,173,112,-0.015593455497382192,-0.06886358381502887,-0.1063696428571428,0.25892857142857145,12.104799999999996
baseline_continuation,100,7500,-7.706999999999998,764,165,104,-0.010087696335078531,-0.046709090909090895,-0.07410576923076921,0.3557692307692308,8.819599999999998
baseline_continuation,100,10000,-6.522800000000001,764,164,103,-0.008537696335078535,-0.03977317073170732,-0.06332815533980583,0.3592233009708738,9.33025
baseline_continuation,250,500,-16.25475,764,179,112,-0.021275850785340316,-0.0908086592178771,-0.14513169642857143,0.026785714285714284,16.25475
baseline_continuation,250,750,-17.700036000000004,764,179,112,-0.02316758638743456,-0.09888288268156427,-0.15803603571428576,0.044642857142857144,17.700036000000004
baseline_continuation,250,1000,-14.914349999999999,764,179,112,-0.019521400523560207,-0.0833203910614525,-0.13316383928571426,0.0625,14.914349999999999
baseline_continuation,250,1500,-13.328800000000006,764,179,112,-0.01744607329842933,-0.07446256983240226,-0.11900714285714291,0.125,13.328800000000006
baseline_continuation,250,2000,-10.68040000000001,764,178,111,-0.013979581151832473,-0.06000224719101129,-0.0962198198198199,0.15315315315315314,10.68040000000001
baseline_continuation,250,3000,-16.0122,764,175,108,-0.020958376963350785,-0.09149828571428571,-0.14826111111111112,0.19444444444444445,16.2036
baseline_continuation,250,4000,-13.765000000000006,764,173,106,-0.01801701570680629,-0.07956647398843934,-0.1298584905660378,0.20754716981132076,13.903450000000007
baseline_continuation,250,5000,-13.880349999999995,764,169,102,-0.018167997382198944,-0.08213224852071002,-0.13608186274509798,0.19607843137254902,14.071749999999996
baseline_continuation,250,7500,-9.331450000000004,764,162,95,-0.01221393979057592,-0.057601543209876566,-0.09822578947368425,0.29473684210526313,10.444050000000002
baseline_continuation,250,10000,-8.387700000000004,764,161,94,-0.010978664921465974,-0.05209751552795033,-0.08923085106382983,0.3191489361702128,9.607000000000005
baseline_reversal,5,500,-51.686039999999984,764,168,168,-0.06765188481675391,-0.3076549999999999,-0.3076549999999999,0.023809523809523808,52.159539999999986
baseline_reversal,5,750,-53.24167750000001,764,168,168,-0.06968805955497383,-0.31691474702380956,-0.31691474702380956,0.023809523809523808,53.90817750000001
baseline_reversal,5,1000,-53.61601700000001,764,168,168,-0.07017803272251309,-0.3191429583333334,-0.3191429583333334,0.023809523809523808,54.08951700000001
baseline_reversal,5,1500,-52.506550000000004,764,165,165,-0.06872585078534033,-0.3182215151515152,-0.3182215151515152,0.04242424242424243,52.883750000000006
baseline_reversal,5,2000,-50.785549999999965,764,159,159,-0.06647323298429315,-0.31940597484276706,-0.31940597484276706,0.03773584905660377,51.25904999999997
baseline_reversal,5,3000,-42.01750000000002,764,152,152,-0.054996727748691125,-0.27643092105263173,-0.27643092105263173,0.039473684210526314,42.298600000000015
baseline_reversal,5,4000,-40.4033,764,148,148,-0.052883900523560214,-0.27299527027027026,-0.27299527027027026,0.06756756756756757,40.7805
baseline_reversal,5,5000,-43.484274800000016,764,143,143,-0.05691659005235604,-0.30408583776223785,-0.30408583776223785,0.04895104895104895,43.86147480000002
baseline_reversal,5,7500,-48.91145000000004,764,131,131,-0.06402022251308906,-0.3733698473282446,-0.3733698473282446,0.12213740458015267,49.28865000000004
baseline_reversal,5,10000,-43.03070000000002,764,126,126,-0.05632290575916233,-0.3415134920634922,-0.3415134920634922,0.10317460317460317,43.31180000000001
baseline_reversal,10,500,-50.90093999999999,764,168,167,-0.0666242670157068,-0.3029817857142857,-0.30479604790419157,0.023952095808383235,51.37443999999999
baseline_reversal,10,750,-52.45657750000003,764,168,167,-0.06866044175392674,-0.3122415327380954,-0.31411124251497025,0.023952095808383235,53.12307750000003
baseline_reversal,10,1000,-52.830917000000014,764,168,167,-0.06915041492146598,-0.3144697440476191,-0.3163527964071857,0.023952095808383235,53.304417000000015
baseline_reversal,10,1500,-51.769800000000004,764,165,164,-0.06776151832460733,-0.31375636363636367,-0.31566951219512196,0.04878048780487805,52.147000000000006
baseline_reversal,10,2000,-49.95524999999997,764,159,158,-0.06538645287958111,-0.31418396226415074,-0.3161724683544302,0.04430379746835443,50.42874999999997
baseline_reversal,10,3000,-41.24115000000001,764,152,151,-0.053980562827225145,-0.271323355263158,-0.27312019867549675,0.039735099337748346,41.52225000000001
baseline_reversal,10,4000,-39.580349999999996,764,148,147,-0.05180674083769633,-0.26743479729729724,-0.269254081632653,0.06802721088435375,39.95755
baseline_reversal,10,5000,-42.66132480000001,764,143,142,-0.05583943036649216,-0.2983309426573427,-0.30043186478873246,0.04929577464788732,43.03852480000001
baseline_reversal,10,7500,-48.13810000000004,764,131,130,-0.06300798429319376,-0.36746641221374077,-0.3702930769230772,0.12307692307692308,48.51530000000004
baseline_reversal,10,10000,-42.25735000000001,764,126,125,-0.05531066753926703,-0.33537579365079373,-0.3380588000000001,0.104,42.538450000000005
baseline_reversal,25,500,-47.710909499999985,764,168,166,-0.06244883442408375,-0.28399350892857134,-0.2874151174698794,0.024096385542168676,48.18440949999999
baseline_reversal,25,750,-49.85673550000001,764,168,166,-0.0652575071989529,-0.2967662827380953,-0.300341780120482,0.024096385542168676,50.52323550000001
baseline_reversal,25,1000,-50.30663450000002,764,168,166,-0.06584638023560212,-0.2994442529761906,-0.3030520150602411,0.024096385542168676,50.780134500000024
baseline_reversal,25,1500,-49.245517500000005,764,165,163,-0.06445748363874346,-0.29845768181818183,-0.3021197392638037,0.049079754601226995,49.62271750000001
baseline_reversal,25,2000,-47.56018399999998,764,159,157,-0.062251549738219863,-0.29912065408805016,-0.30293110828025466,0.044585987261146494,48.03368399999998
baseline_reversal,25,3000,-39.548500000000004,764,152,150,-0.05176505235602095,-0.2601875,-0.2636566666666667,0.04,39.8296
baseline_reversal,25,4000,-37.986,764,148,146,-0.04971989528795811,-0.25666216216216214,-0.2601780821917808,0.0684931506849315,38.3632
baseline_reversal,25,5000,-41.114974800000006,764,143,141,-0.05381541204188482,-0.2875173062937063,-0.29159556595744685,0.04964539007092199,41.49217480000001
baseline_reversal,25,7500,-46.21180000000003,764,131,129,-0.06048664921465973,-0.3527618320610689,-0.3582310077519382,0.12403100775193798,46.589000000000034
baseline_reversal,25,10000,-40.425700000000006,764,126,124,-0.052913219895287966,-0.32083888888888895,-0.3260137096774194,0.10483870967741936,40.7068
baseline_reversal,50,500,-46.76377999999998,764,168,163,-0.06120913612565443,-0.27835583333333325,-0.28689435582822076,0.012269938650306749,46.76377999999998
baseline_reversal,50,750,-49.296377500000006,764,168,163,-0.06452405431937173,-0.293430818452381,-0.30243176380368103,0.012269938650306749,49.296377500000006
baseline_reversal,50,1000,-49.52571700000003,764,168,163,-0.0648242369109948,-0.2947959345238097,-0.30383875460122717,0.018404907975460124,49.52571700000003
baseline_reversal,50,1500,-48.36830000000002,764,165,160,-0.06330929319371731,-0.29314121212121225,-0.3023018750000001,0.05,48.39150000000002
baseline_reversal,50,2000,-47.211999999999975,764,159,154,-0.06179581151832458,-0.29693081761006274,-0.3065714285714284,0.03896103896103896,47.211999999999975
baseline_reversal,50,3000,-38.90579999999999,764,152,147,-0.050923821989528786,-0.25595921052631576,-0.26466530612244893,0.034013605442176874,38.90579999999999
baseline_reversal,50,4000,-37.48965,764,148,143,-0.049070222513089,-0.2533084459459459,-0.2621653846153846,0.055944055944055944,37.48965
baseline_reversal,50,5000,-40.6186248,764,143,138,-0.053165739267015705,-0.2840463272727273,-0.2943378608695652,0.036231884057971016,40.6186248
baseline_reversal,50,7500,-45.668850000000035,764,131,126,-0.05977598167539271,-0.34861717557251937,-0.36245119047619073,0.1111111111111111,45.668850000000035
baseline_reversal,50,10000,-39.88205000000001,764,126,121,-0.05220163612565446,-0.3165242063492064,-0.3296037190082645,0.09090909090909091,39.88205000000001
baseline_reversal,100,500,-42.453579999999995,764,168,162,-0.05556751308900523,-0.25269988095238094,-0.2620591358024691,0.012345679012345678,42.453579999999995
baseline_reversal,100,750,-44.99157750000002,764,168,162,-0.05888949934554976,-0.26780700892857157,-0.27772578703703715,0.024691358024691357,44.99157750000002
baseline_reversal,100,1000,-44.72721700000003,764,168,162,-0.05854347774869114,-0.2662334345238097,-0.27609393209876565,0.018518518518518517,44.72721700000003
baseline_reversal,100,1500,-44.107899999999994,764,165,159,-0.057732853403141354,-0.26732060606060604,-0.2774081761006289,0.050314465408805034,44.43194999999999
baseline_reversal,100,2000,-43.50104999999998,764,159,153,-0.05693854712041882,-0.2735915094339621,-0.284320588235294,0.0392156862745098,43.50104999999998
baseline_reversal,100,3000,-35.698949999999996,764,152,146,-0.046726374345549736,-0.23486151315789472,-0.24451335616438355,0.0410958904109589,35.698949999999996
baseline_reversal,100,4000,-34.38614999999999,764,148,142,-0.045008049738219875,-0.23233885135135127,-0.24215598591549287,0.06338028169014084,34.38614999999999
baseline_reversal,100,5000,-37.12357479999999,764,143,137,-0.04859106649214659,-0.25960541818181815,-0.27097499854014595,0.051094890510948905,37.12357479999999
